,season,round,circuit_id,raceName,url,LAT,LONG,locality,country,date,time
43,1955,3,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1955_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1955-05-30,
44,1955,4,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1955-06-05,
45,1955,5,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1955-06-19,
46,1955,6,aintree,British Grand Prix,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,53.4769,-2.94056,Liverpool,UK,1955-07-16,
47,1955,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1955-09-11,
48,1956,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1956-01-22,
49,1956,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1956-05-13,
50,1956,3,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1956_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1956-05-30,
51,1956,4,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1956-06-03,
52,1956,5,reims,French Grand Prix,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,49.2542,3.93083,Reims,France,1956-07-01,
53,1956,6,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1956-07-14,
54,1956,7,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1956-08-05,
55,1956,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1956-09-02,
56,1957,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1957-01-13,
57,1957,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1957-05-19,
58,1957,3,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1957_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1957-05-30,
59,1957,4,essarts,French Grand Prix,http://en.wikipedia.org/wiki/1957_French_Grand_Prix,49.3306,1.00458,Rouen,France,1957-07-07,
60,1957,5,aintree,British Grand Prix,http://en.wikipedia.org/wiki/1957_British_Grand_Prix,53.4769,-2.94056,Liverpool,UK,1957-07-20,
61,1957,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1957_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1957-08-04,
62,1957,7,pescara,Pescara Grand Prix,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,42.475,14.1508,Pescara,Italy,1957-08-18,
63,1957,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1957-09-08,
64,1958,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1958-01-19,
65,1958,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1958-05-18,
66,1958,3,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1958-05-26,
67,1958,4,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1958_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1958-05-30,
68,1958,5,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1958-06-15,
69,1958,6,reims,French Grand Prix,http://en.wikipedia.org/wiki/1958_French_Grand_Prix,49.2542,3.93083,Reims,France,1958-07-06,
70,1958,7,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1958-07-19,
71,1958,8,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1958-08-03,
72,1958,9,boavista,Portuguese Grand Prix,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,41.1705,-8.67325,Oporto,Portugal,1958-08-24,
73,1958,10,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1958-09-07,
74,1958,11,ain-diab,Moroccan Grand Prix,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,33.5786,-7.6875,Casablanca,Morocco,1958-10-19,
75,1959,1,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1959-05-10,
76,1959,2,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1959_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1959-05-30,
77,1959,3,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1959-05-31,
78,1959,4,reims,French Grand Prix,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,49.2542,3.93083,Reims,France,1959-07-05,
79,1959,5,aintree,British Grand Prix,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,53.4769,-2.94056,Liverpool,UK,1959-07-18,
80,1959,6,avus,German Grand Prix,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,52.4806,13.2514,Berlin,Germany,1959-08-02,
81,1959,7,monsanto,Portuguese Grand Prix,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,38.7197,-9.20306,Lisbon,Portugal,1959-08-23,
82,1959,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1959-09-13,
83,1959,9,sebring,United States Grand Prix,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,27.4547,-81.3483,Florida,USA,1959-12-12,
84,1960,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1960-02-07,
85,1960,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1960-05-29,
86,1960,3,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1960_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1960-05-30,
87,1960,4,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1960-06-06,
88,1960,5,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1960-06-19,
89,1960,6,reims,French Grand Prix,http://en.wikipedia.org/wiki/1960_French_Grand_Prix,49.2542,3.93083,Reims,France,1960-07-03,
90,1960,7,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1960_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1960-07-16,
91,1960,8,boavista,Portuguese Grand Prix,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,41.1705,-8.67325,Oporto,Portugal,1960-08-14,
92,1960,9,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1960-09-04,
93,1960,10,riverside,United States Grand Prix,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,33.937,-117.273,California,USA,1960-11-20,
94,1961,1,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1961-05-14,
95,1961,2,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1961-05-22,
96,1961,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1961-06-18,
97,1961,4,reims,French Grand Prix,http://en.wikipedia.org/wiki/1961_French_Grand_Prix,49.2542,3.93083,Reims,France,1961-07-02,
98,1961,5,aintree,British Grand Prix,http://en.wikipedia.org/wiki/1961_British_Grand_Prix,53.4769,-2.94056,Liverpool,UK,1961-07-15,
99,1961,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1961_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1961-08-06,
100,1961,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1961-09-10,
101,1961,8,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1961-10-08,
102,1962,1,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1962-05-20,
103,1962,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1962-06-03,
104,1962,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1962-06-17,
105,1962,4,essarts,French Grand Prix,http://en.wikipedia.org/wiki/1962_French_Grand_Prix,49.3306,1.00458,Rouen,France,1962-07-08,
106,1962,5,aintree,British Grand Prix,http://en.wikipedia.org/wiki/1962_British_Grand_Prix,53.4769,-2.94056,Liverpool,UK,1962-07-21,
107,1962,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1962_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1962-08-05,
108,1962,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1962-09-16,
109,1962,8,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1962-10-07,
110,1962,9,george,South African Grand Prix,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix,-33.0486,27.8736,Eastern Cape Province,South Africa,1962-12-29,
111,1963,1,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1963-05-26,
112,1963,2,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1963-06-09,
113,1963,3,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1963-06-23,
114,1963,4,reims,French Grand Prix,http://en.wikipedia.org/wiki/1963_French_Grand_Prix,49.2542,3.93083,Reims,France,1963-06-30,
115,1963,5,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1963_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1963-07-20,
116,1963,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1963_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1963-08-04,
117,1963,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1963-09-08,
118,1963,8,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1963-10-06,
119,1963,9,rodriguez,Mexican Grand Prix,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,19.4042,-99.0907,Mexico City,Mexico,1963-10-27,
120,1963,10,george,South African Grand Prix,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,-33.0486,27.8736,Eastern Cape Province,South Africa,1963-12-28,
121,1964,1,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1964-05-10,
122,1964,2,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1964-05-24,
123,1964,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1964-06-14,
124,1964,4,essarts,French Grand Prix,http://en.wikipedia.org/wiki/1964_French_Grand_Prix,49.3306,1.00458,Rouen,France,1964-06-28,
125,1964,5,brands_hatch,British Grand Prix,http://en.wikipedia.org/wiki/1964_British_Grand_Prix,51.3569,0.263056,Kent,UK,1964-07-11,
126,1964,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1964_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1964-08-02,
127,1964,7,zeltweg,Austrian Grand Prix,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,47.2039,14.7478,Styria,Austria,1964-08-23,
128,1964,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1964-09-06,
129,1964,9,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1964-10-04,
130,1964,10,rodriguez,Mexican Grand Prix,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix,19.4042,-99.0907,Mexico City,Mexico,1964-10-25,
131,1965,1,george,South African Grand Prix,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix,-33.0486,27.8736,Eastern Cape Province,South Africa,1965-01-01,
132,1965,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1965-05-30,
133,1965,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1965-06-13,
134,1965,4,charade,French Grand Prix,http://en.wikipedia.org/wiki/1965_French_Grand_Prix,45.7472,3.03889,Clermont-Ferrand,France,1965-06-27,
135,1965,5,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1965_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1965-07-10,
136,1965,6,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1965-07-18,
137,1965,7,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1965_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1965-08-01,
138,1965,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1965-09-12,
139,1965,9,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1965-10-03,
140,1965,10,rodriguez,Mexican Grand Prix,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix,19.4042,-99.0907,Mexico City,Mexico,1965-10-24,
141,1966,1,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1966-05-22,
142,1966,2,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1966-06-12,
143,1966,3,reims,French Grand Prix,http://en.wikipedia.org/wiki/1966_French_Grand_Prix,49.2542,3.93083,Reims,France,1966-07-03,
144,1966,4,brands_hatch,British Grand Prix,http://en.wikipedia.org/wiki/1966_British_Grand_Prix,51.3569,0.263056,Kent,UK,1966-07-16,
145,1966,5,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1966-07-24,
146,1966,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1966_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1966-08-07,
147,1966,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1966-09-04,
148,1966,8,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1966-10-02,
149,1966,9,rodriguez,Mexican Grand Prix,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix,19.4042,-99.0907,Mexico City,Mexico,1966-10-23,
150,1967,1,kyalami,South African Grand Prix,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,-25.9894,28.0767,Midrand,South Africa,1967-01-02,
151,1967,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1967-05-07,
152,1967,3,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1967-06-04,
153,1967,4,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1967-06-18,
154,1967,5,lemans,French Grand Prix,http://en.wikipedia.org/wiki/1967_French_Grand_Prix,47.95,0.224231,Le Mans,France,1967-07-02,
155,1967,6,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1967_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1967-07-15,
156,1967,7,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1967_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1967-08-06,
157,1967,8,mosport,Canadian Grand Prix,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,44.0481,-78.6756,Ontario,Canada,1967-08-27,
158,1967,9,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1967-09-10,
159,1967,10,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1967-10-01,
160,1967,11,rodriguez,Mexican Grand Prix,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix,19.4042,-99.0907,Mexico City,Mexico,1967-10-22,
161,1968,1,kyalami,South African Grand Prix,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix,-25.9894,28.0767,Midrand,South Africa,1968-01-01,
162,1968,2,jarama,Spanish Grand Prix,http://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix,40.6171,-3.58558,Madrid,Spain,1968-05-12,
163,1968,3,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1968-05-26,
164,1968,4,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1968-06-09,
165,1968,5,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1968-06-23,
166,1968,6,essarts,French Grand Prix,http://en.wikipedia.org/wiki/1968_French_Grand_Prix,49.3306,1.00458,Rouen,France,1968-07-07,
167,1968,7,brands_hatch,British Grand Prix,http://en.wikipedia.org/wiki/1968_British_Grand_Prix,51.3569,0.263056,Kent,UK,1968-07-20,
168,1968,8,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1968_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1968-08-04,
169,1968,9,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1968_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1968-09-08,
170,1968,10,tremblant,Canadian Grand Prix,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix,46.1877,-74.6099,Quebec,Canada,1968-09-22,
171,1968,11,watkins_glen,United States Grand Prix,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix,42.3369,-76.9272,New York State,USA,1968-10-06,
172,1968,12,rodriguez,Mexican Grand Prix,http://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix,19.4042,-99.0907,Mexico City,Mexico,1968-11-03,
