,season,Round,date,circuit_id,driver,DATE_of_birth,nationality,constructor,GriD,tIME,Status,points,podium
67,1950,3,1950-05-30,indianapolis,holmes,1920-09-04,American,olson,30,,Spun off,0,23
68,1950,3,1950-05-30,indianapolis,rathmann,1928-07-16,American,wetteroth,28,,+16 Laps,0,24
69,1950,3,1950-05-30,indianapolis,banks,1913-06-14,American,maserati,21,,Oil line,0,25
70,1950,3,1950-05-30,indianapolis,schindler,1909-03-06,American,snowberger,22,,Transmission,0,26
71,1950,3,1950-05-30,indianapolis,levrett,1914-02-14,American,adams,17,,Oil pressure,0,27
72,1950,3,1950-05-30,indianapolis,cantrell,1908-01-31,American,adams,17,,Oil pressure,0,27
73,1950,3,1950-05-30,indianapolis,agabashian,1913-08-21,American,kurtis_kraft,2,,Oil leak,0,28
74,1950,4,1950-06-04,bremgarten,farina,1906-10-30,Italian,alfa,2,7373700.0,Finished,9,1
75,1950,4,1950-06-04,bremgarten,fagioli,1898-06-09,Italian,alfa,3,7374100.0,Finished,6,2
76,1950,4,1950-06-04,bremgarten,rosier,1905-11-05,French,lago,10,,+1 Lap,4,3
77,1950,4,1950-06-04,bremgarten,bira,1914-07-15,Thai,maserati,8,,+2 Laps,3,4
78,1950,4,1950-06-04,bremgarten,bonetto,1903-06-09,Italian,maserati,12,,+2 Laps,2,5
79,1950,4,1950-06-04,bremgarten,graffenried,1914-05-18,Swiss,maserati,11,,+2 Laps,0,6
80,1950,4,1950-06-04,bremgarten,pagani,1911-10-11,Italian,maserati,15,,+3 Laps,0,7
81,1950,4,1950-06-04,bremgarten,schell,1921-06-29,American,lago,18,,+3 Laps,0,8
82,1950,4,1950-06-04,bremgarten,chiron,1899-08-03,Monegasque,maserati,16,,+3 Laps,0,9
83,1950,4,1950-06-04,bremgarten,claes,1916-08-11,Belgian,lago,14,,+4 Laps,0,10
84,1950,4,1950-06-04,bremgarten,branca,1916-09-15,Swiss,maserati,17,,+7 Laps,0,11
85,1950,4,1950-06-04,bremgarten,fangio,1911-06-24,Argentine,alfa,1,,Engine,0,12
86,1950,4,1950-06-04,bremgarten,etancelin,1896-12-28,French,lago,6,,Gearbox,0,13
87,1950,4,1950-06-04,bremgarten,martin,1915-03-24,French,lago,9,,Accident,0,14
88,1950,4,1950-06-04,bremgarten,sommer,1906-08-31,French,ferrari,13,,Suspension,0,15
89,1950,4,1950-06-04,bremgarten,villoresi,1909-05-16,Italian,ferrari,4,,Engine,0,16
90,1950,4,1950-06-04,bremgarten,ascari,1918-07-13,Italian,ferrari,5,,Oil pump,0,17
91,1950,4,1950-06-04,bremgarten,cabantous,1904-10-08,French,lago,7,,Accident,0,18
92,1950,5,1950-06-18,spa,fangio,1911-06-24,Argentine,alfa,2,10046000.0,Finished,8,1
93,1950,5,1950-06-18,spa,fagioli,1898-06-09,Italian,alfa,3,10060000.0,Finished,6,2
94,1950,5,1950-06-18,spa,rosier,1905-11-05,French,lago,8,10185000.0,Finished,4,3
95,1950,5,1950-06-18,spa,farina,1906-10-30,Italian,alfa,1,10291000.0,Finished,4,4
96,1950,5,1950-06-18,spa,ascari,1918-07-13,Italian,ferrari,7,,+1 Lap,2,5
97,1950,5,1950-06-18,spa,villoresi,1909-05-16,Italian,ferrari,4,,+2 Laps,0,6
98,1950,5,1950-06-18,spa,levegh,1905-12-22,French,lago,10,,+2 Laps,0,7
99,1950,5,1950-06-18,spa,claes,1916-08-11,Belgian,lago,14,,+3 Laps,0,8
100,1950,5,1950-06-18,spa,crossley,1921-05-11,British,alta,12,,+5 Laps,0,9
101,1950,5,1950-06-18,spa,branca,1916-09-15,Swiss,maserati,11,,+6 Laps,0,10
102,1950,5,1950-06-18,spa,chaboud,1907-04-12,French,lago,13,,Oil pipe,0,11
103,1950,5,1950-06-18,spa,sommer,1906-08-31,French,lago,5,,Oil pressure,0,12
104,1950,5,1950-06-18,spa,etancelin,1896-12-28,French,lago,6,,Overheating,0,13
105,1950,5,1950-06-18,spa,cabantous,1904-10-08,French,lago,9,,Oil pipe,0,14
106,1950,6,1950-07-02,reims,fangio,1911-06-24,Argentine,alfa,1,10672800.0,Finished,9,1
107,1950,6,1950-07-02,reims,fagioli,1898-06-09,Italian,alfa,3,10698500.0,Finished,6,2
108,1950,6,1950-07-02,reims,whitehead,1914-11-12,British,ferrari,18,,+3 Laps,4,3
109,1950,6,1950-07-02,reims,manzon,1917-04-12,French,simca,12,,+3 Laps,3,4
110,1950,6,1950-07-02,reims,etancelin,1896-12-28,French,lago,4,,+5 Laps,1,5
111,1950,6,1950-07-02,reims,chaboud,1907-04-12,French,lago,4,,+5 Laps,1,5
112,1950,6,1950-07-02,reims,pozzi,1909-08-27,French,lago,15,,+8 Laps,0,6
113,1950,6,1950-07-02,reims,rosier,1905-11-05,French,lago,15,,+8 Laps,0,6
114,1950,6,1950-07-02,reims,farina,1906-10-30,Italian,alfa,2,,Fuel pump,0,7
115,1950,6,1950-07-02,reims,cabantous,1904-10-08,French,lago,5,,+12 Laps,0,8
116,1950,6,1950-07-02,reims,levegh,1905-12-22,French,lago,9,,Engine,0,9
117,1950,6,1950-07-02,reims,bonetto,1903-06-09,Italian,maserati,10,,Engine,0,10
118,1950,6,1950-07-02,reims,claes,1916-08-11,Belgian,lago,14,,Overheating,0,11
119,1950,6,1950-07-02,reims,rosier,1905-11-05,French,lago,6,,Overheating,0,12
120,1950,6,1950-07-02,reims,reg_parnell,1911-07-02,British,maserati,11,,Engine,0,13
121,1950,6,1950-07-02,reims,rol,1908-06-05,Italian,maserati,7,,Engine,0,14
122,1950,6,1950-07-02,reims,chiron,1899-08-03,Monegasque,maserati,13,,Engine,0,15
123,1950,6,1950-07-02,reims,hampshire,1917-12-29,British,maserati,17,,Engine,0,16
124,1950,6,1950-07-02,reims,sommer,1906-08-31,French,lago,16,,Overheating,0,17
125,1950,6,1950-07-02,reims,gonzalez,1922-10-05,Argentine,maserati,8,,Engine,0,18
126,1950,7,1950-09-03,monza,farina,1906-10-30,Italian,alfa,3,10277400.0,Finished,8,1
127,1950,7,1950-09-03,monza,ascari,1918-07-13,Italian,ferrari,6,,Finished,3,2
128,1950,7,1950-09-03,monza,serafini,1909-07-22,Italian,ferrari,6,10356000.0,Finished,3,2
129,1950,7,1950-09-03,monza,fagioli,1898-06-09,Italian,alfa,5,10373000.0,Finished,4,3
130,1950,7,1950-09-03,monza,rosier,1905-11-05,French,lago,13,,+5 Laps,3,4
131,1950,7,1950-09-03,monza,etancelin,1896-12-28,French,lago,16,,+5 Laps,2,5
132,1950,7,1950-09-03,monza,graffenried,1914-05-18,Swiss,maserati,17,,+8 Laps,0,6
133,1950,7,1950-09-03,monza,whitehead,1914-11-12,British,ferrari,18,,+8 Laps,0,7
134,1950,7,1950-09-03,monza,murray,1909-12-28,British,maserati,24,,Gearbox,0,8
135,1950,7,1950-09-03,monza,harrison,1906-07-06,British,era,21,,Radiator,0,9
136,1950,7,1950-09-03,monza,sommer,1906-08-31,French,lago,8,,Gearbox,0,10
137,1950,7,1950-09-03,monza,guy_mairesse,1910-08-10,French,lago,11,,Oil pipe,0,11
138,1950,7,1950-09-03,monza,rol,1908-06-05,Italian,maserati,9,,Retired,0,12
139,1950,7,1950-09-03,monza,taruffi,1906-10-12,Italian,alfa,7,,Engine,0,13
140,1950,7,1950-09-03,monza,fangio,1911-06-24,Argentine,alfa,7,,Engine,0,13
141,1950,7,1950-09-03,monza,levegh,1905-12-22,French,lago,20,,Gearbox,0,14
142,1950,7,1950-09-03,monza,fangio,1911-06-24,Argentine,alfa,1,,Gearbox,1,15
143,1950,7,1950-09-03,monza,claes,1916-08-11,Belgian,lago,22,,Overheating,0,16
144,1950,7,1950-09-03,monza,ascari,1918-07-13,Italian,ferrari,2,,Engine,0,17
145,1950,7,1950-09-03,monza,biondetti,1898-08-18,Italian,ferrari,25,,Engine,0,18
146,1950,7,1950-09-03,monza,louveau,1910-01-25,French,lago,16,,Brakes,0,19
147,1950,7,1950-09-03,monza,comotti,1906-07-24,Italian,maserati,26,,Retired,0,20
148,1950,7,1950-09-03,monza,trintignant,1917-10-30,French,simca,12,,Water pipe,0,21
149,1950,7,1950-09-03,monza,chiron,1899-08-03,Monegasque,maserati,19,,Oil pressure,0,22
150,1950,7,1950-09-03,monza,sanesi,1911-03-28,Italian,alfa,4,,Engine,0,23
151,1950,7,1950-09-03,monza,manzon,1917-04-12,French,simca,10,,Transmission,0,24
152,1950,7,1950-09-03,monza,bira,1914-07-15,Thai,maserati,15,,Engine,0,25
153,1950,7,1950-09-03,monza,pietsch,1911-06-20,German,maserati,27,,Engine,0,26
154,1950,7,1950-09-03,monza,bonetto,1903-06-09,Italian,milano,23,,Withdrew,0,27
155,1951,1,1951-05-27,bremgarten,fangio,1911-06-24,Argentine,alfa,1,7673640.0,Finished,9,1
156,1951,1,1951-05-27,bremgarten,taruffi,1906-10-12,Italian,ferrari,6,7728880.0,Finished,6,2
157,1951,1,1951-05-27,bremgarten,farina,1906-10-30,Italian,alfa,2,7752950.0,Finished,4,3
158,1951,1,1951-05-27,bremgarten,sanesi,1911-03-28,Italian,alfa,4,,+1 Lap,3,4
159,1951,1,1951-05-27,bremgarten,graffenried,1914-05-18,Swiss,alfa,5,,+2 Laps,2,5
160,1951,1,1951-05-27,bremgarten,ascari,1918-07-13,Italian,ferrari,7,,+2 Laps,0,6
161,1951,1,1951-05-27,bremgarten,chiron,1899-08-03,Monegasque,maserati,19,,+2 Laps,0,7
162,1951,1,1951-05-27,bremgarten,moss,1929-09-17,British,hwm,14,,+2 Laps,0,8
163,1951,1,1951-05-27,bremgarten,rosier,1905-11-05,French,lago,8,,+3 Laps,0,9
164,1951,1,1951-05-27,bremgarten,etancelin,1896-12-28,French,lago,12,,+3 Laps,0,10
165,1951,1,1951-05-27,bremgarten,fischer,1912-04-19,Swiss,ferrari,10,,+3 Laps,0,11
166,1951,1,1951-05-27,bremgarten,schell,1921-06-29,American,maserati,17,,+4 Laps,0,12
167,1951,1,1951-05-27,bremgarten,claes,1916-08-11,Belgian,lago,18,,+7 Laps,0,13
168,1951,1,1951-05-27,bremgarten,guy_mairesse,1910-08-10,French,lago,21,,+11 Laps,0,14
169,1951,1,1951-05-27,bremgarten,whitehead,1914-11-12,British,ferrari,9,,Accident,0,15
170,1951,1,1951-05-27,bremgarten,louveau,1910-01-25,French,lago,11,,Accident,0,16
171,1951,1,1951-05-27,bremgarten,abecassis,1913-03-21,British,hwm,20,,Magneto,0,17
172,1951,1,1951-05-27,bremgarten,cabantous,1904-10-08,French,lago,15,,Ignition,0,18
173,1951,1,1951-05-27,bremgarten,villoresi,1909-05-16,Italian,ferrari,3,,Accident,0,19
174,1951,1,1951-05-27,bremgarten,gonzalez,1922-10-05,Argentine,lago,13,,Oil pump,0,20
175,1951,1,1951-05-27,bremgarten,hirt,1910-03-30,Swiss,veritas,16,,Fuel system,0,21
176,1951,2,1951-05-30,indianapolis,wallard,1910-09-07,American,kurtis_kraft,2,14258050.0,Finished,9,1
177,1951,2,1951-05-30,indianapolis,nazaruk,1921-10-02,American,kurtis_kraft,7,14365290.0,Finished,6,2
178,1951,2,1951-05-30,indianapolis,mcgrath,1919-10-08,American,kurtis_kraft,3,14429440.0,Finished,2,3
179,1951,2,1951-05-30,indianapolis,ayulo,1921-10-20,American,kurtis_kraft,3,14429440.0,Finished,2,3
180,1951,2,1951-05-30,indianapolis,linden,1922-04-05,American,sherman,31,14538170.0,Finished,3,4
181,1951,2,1951-05-30,indianapolis,ball,1925-08-26,American,schroeder,29,14550280.0,Finished,2,5
182,1951,2,1951-05-30,indianapolis,banks,1913-06-14,American,moore,17,14598070.0,Finished,0,6
183,1951,2,1951-05-30,indianapolis,forberg,1911-03-04,American,kurtis_kraft,24,,+7 Laps,0,7
184,1951,2,1951-05-30,indianapolis,darter,1913-05-05,American,deidt,4,,+20 Laps,0,8
185,1951,2,1951-05-30,indianapolis,bettenhausen,1916-09-12,American,deidt,9,,Spun off,0,9
186,1951,2,1951-05-30,indianapolis,nalon,1913-03-02,American,kurtis_kraft,1,,Retired,0,10
187,1951,2,1951-05-30,indianapolis,force,1916-06-15,American,kurtis_kraft,22,,Engine,0,11
188,1951,2,1951-05-30,indianapolis,hanks,1914-07-13,American,kurtis_kraft,12,,Engine,0,12
189,1951,2,1951-05-30,indianapolis,schindler,1909-03-06,American,kurtis_kraft,16,,Engine,0,13
190,1951,2,1951-05-30,indianapolis,rose,1906-05-26,American,deidt,5,,Accident,0,14
191,1951,2,1951-05-30,indianapolis,faulkner,1920-02-16,American,kuzma,14,,Engine,0,15
192,1951,2,1951-05-30,indianapolis,davies,1929-08-08,American,pawl,27,,Axle,0,16
193,1951,2,1951-05-30,indianapolis,agabashian,1913-08-21,American,kurtis_kraft,11,,Clutch,0,17
194,1951,2,1951-05-30,indianapolis,scarborough,1914-07-03,American,kurtis_kraft,15,,Heat shield fire,0,18
195,1951,2,1951-05-30,indianapolis,mackey,1927-12-15,American,hall,33,,Clutch,0,19
196,1951,2,1951-05-30,indianapolis,stevenson,1919-10-15,American,marchese,19,,Heat shield fire,0,20
197,1951,2,1951-05-30,indianapolis,parsons,1918-07-04,American,kurtis_kraft,8,,Magneto,0,21
198,1951,2,1951-05-30,indianapolis,green,1919-09-30,American,kurtis_kraft,10,,Engine,0,22
199,1951,2,1951-05-30,indianapolis,ruttman,1930-03-11,American,kurtis_kraft,6,,Engine,0,23
200,1951,2,1951-05-30,indianapolis,dinsmore,1913-04-10,American,schroeder,32,,Overheating,0,24
201,1951,2,1951-05-30,indianapolis,miller,1902-07-19,American,kurtis_kraft,28,,Ignition,0,25
202,1951,2,1951-05-30,indianapolis,walt_brown,1911-12-30,American,kurtis_kraft,13,,Magneto,0,26
203,1951,2,1951-05-30,indianapolis,ward,1921-01-10,American,bromme,25,,Oil pipe,0,27
204,1951,2,1951-05-30,indianapolis,griffith,1916-02-06,American,kurtis_kraft,18,,Axle,0,28
205,1951,2,1951-05-30,indianapolis,vukovich,1918-12-13,American,trevis,20,,Oil leak,0,29
206,1951,3,1951-06-17,spa,farina,1906-10-30,Italian,alfa,2,9946200.0,Finished,8,1
207,1951,3,1951-06-17,spa,ascari,1918-07-13,Italian,ferrari,4,10117200.0,Finished,6,2
208,1951,3,1951-06-17,spa,villoresi,1909-05-16,Italian,ferrari,3,10208100.0,Finished,4,3
209,1951,3,1951-06-17,spa,rosier,1905-11-05,French,lago,7,,+2 Laps,3,4
210,1951,3,1951-06-17,spa,cabantous,1904-10-08,French,lago,8,,+2 Laps,2,5
211,1951,3,1951-06-17,spa,andre_pilette,1918-10-06,Belgian,lago,12,,+3 Laps,0,6
212,1951,3,1951-06-17,spa,claes,1916-08-11,Belgian,lago,11,,+3 Laps,0,7
213,1951,3,1951-06-17,spa,levegh,1905-12-22,French,lago,13,,+4 Laps,0,8
214,1951,3,1951-06-17,spa,fangio,1911-06-24,Argentine,alfa,1,,+4 Laps,1,9
215,1951,3,1951-06-17,spa,chiron,1899-08-03,Monegasque,lago,9,,Engine,0,10
216,1951,3,1951-06-17,spa,sanesi,1911-03-28,Italian,alfa,6,,Radiator,0,11
217,1951,3,1951-06-17,spa,taruffi,1906-10-12,Italian,ferrari,5,,Transmission,0,12
218,1951,3,1951-06-17,spa,etancelin,1896-12-28,French,lago,10,,Transmission,0,13
219,1951,4,1951-07-01,reims,fangio,1911-06-24,Argentine,alfa,7,12131000.0,Finished,5,1
220,1951,4,1951-07-01,reims,fagioli,1898-06-09,Italian,alfa,7,12131000.0,Finished,4,1
221,1951,4,1951-07-01,reims,gonzalez,1922-10-05,Argentine,ferrari,6,12189200.0,Finished,3,2
222,1951,4,1951-07-01,reims,ascari,1918-07-13,Italian,ferrari,6,12189200.0,Finished,3,2
223,1951,4,1951-07-01,reims,villoresi,1909-05-16,Italian,ferrari,4,,+3 Laps,4,3
224,1951,4,1951-07-01,reims,reg_parnell,1911-07-02,British,ferrari,9,,+4 Laps,3,4
225,1951,4,1951-07-01,reims,farina,1906-10-30,Italian,alfa,2,,+4 Laps,2,5
226,1951,4,1951-07-01,reims,chiron,1899-08-03,Monegasque,lago,8,,+6 Laps,0,6
227,1951,4,1951-07-01,reims,cabantous,1904-10-08,French,lago,11,,+6 Laps,0,7
228,1951,4,1951-07-01,reims,chaboud,1907-04-12,French,lago,14,,+8 Laps,0,8
229,1951,4,1951-07-01,reims,guy_mairesse,1910-08-10,French,lago,19,,+11 Laps,0,9
230,1951,4,1951-07-01,reims,sanesi,1911-03-28,Italian,alfa,5,,+19 Laps,0,10
231,1951,4,1951-07-01,reims,fagioli,1898-06-09,Italian,alfa,1,,+22 Laps,0,11
232,1951,4,1951-07-01,reims,fangio,1911-06-24,Argentine,alfa,1,,+22 Laps,0,11
233,1951,4,1951-07-01,reims,claes,1916-08-11,Belgian,lago,12,,Accident,0,12
234,1951,4,1951-07-01,reims,rosier,1905-11-05,French,lago,13,,Transmission,0,13
235,1951,4,1951-07-01,reims,etancelin,1896-12-28,French,lago,10,,Engine,0,14
236,1951,4,1951-07-01,reims,gordini,1921-05-20,French,simca,17,,Engine,0,15
237,1951,4,1951-07-01,reims,schell,1921-06-29,American,maserati,22,,Overheating,0,16
238,1951,4,1951-07-01,reims,trintignant,1917-10-30,French,simca,18,,Engine,0,17
239,1951,4,1951-07-01,reims,ascari,1918-07-13,Italian,ferrari,3,,Gearbox,0,18
240,1951,4,1951-07-01,reims,simon,1920-01-05,French,simca,21,,Engine,0,19
241,1951,4,1951-07-01,reims,manzon,1917-04-12,French,simca,23,,Engine,0,20
242,1951,4,1951-07-01,reims,marimon,1923-12-19,Argentine,maserati,15,,Engine,0,21
243,1951,4,1951-07-01,reims,graffenried,1914-05-18,Swiss,maserati,16,,Transmission,0,22
244,1951,4,1951-07-01,reims,whitehead,1914-11-12,British,ferrari,20,,Engine,0,23
245,1951,5,1951-07-14,silverstone,gonzalez,1922-10-05,Argentine,ferrari,1,9738200.0,Finished,8,1
246,1951,5,1951-07-14,silverstone,fangio,1911-06-24,Argentine,alfa,2,9789200.0,Finished,6,2
247,1951,5,1951-07-14,silverstone,villoresi,1909-05-16,Italian,ferrari,5,,+2 Laps,4,3
248,1951,5,1951-07-14,silverstone,bonetto,1903-06-09,Italian,alfa,7,,+3 Laps,3,4
249,1951,5,1951-07-14,silverstone,reg_parnell,1911-07-02,British,brm,20,,+5 Laps,2,5
250,1951,5,1951-07-14,silverstone,sanesi,1911-03-28,Italian,alfa,6,,+6 Laps,0,6
251,1951,5,1951-07-14,silverstone,peter_walker,1912-10-07,British,brm,19,,+6 Laps,0,7
252,1951,5,1951-07-14,silverstone,shawe_taylor,1915-01-28,British,era,12,,+6 Laps,0,8
253,1951,5,1951-07-14,silverstone,whitehead,1914-11-12,British,ferrari,8,,+7 Laps,0,9
254,1951,5,1951-07-14,silverstone,rosier,1905-11-05,French,lago,9,,+7 Laps,0,10
255,1951,5,1951-07-14,silverstone,gerard,1914-01-19,British,era,10,,+8 Laps,0,11
256,1951,5,1951-07-14,silverstone,duncan_hamilton,1920-04-30,British,lago,11,,+9 Laps,0,12
257,1951,5,1951-07-14,silverstone,claes,1916-08-11,Belgian,lago,14,,+10 Laps,0,13
258,1951,5,1951-07-14,silverstone,farina,1906-10-30,Italian,alfa,3,,Clutch,1,14
259,1951,5,1951-07-14,silverstone,kelly,1913-03-13,Irish,alta,18,,Not classified,0,15
260,1951,5,1951-07-14,silverstone,ascari,1918-07-13,Italian,ferrari,4,,Gearbox,0,16
261,1951,5,1951-07-14,silverstone,parker,1907-09-22,British,maserati,16,,Oil leak,0,17
262,1951,5,1951-07-14,silverstone,murray,1909-12-28,British,maserati,15,,Engine,0,18
263,1951,5,1951-07-14,silverstone,chiron,1899-08-03,Monegasque,lago,13,,Brakes,0,19
264,1951,5,1951-07-14,silverstone,john_james,1914-05-10,British,maserati,17,,Radiator,0,20
265,1951,6,1951-07-29,nurburgring,ascari,1918-07-13,Italian,ferrari,1,12183300.0,Finished,8,1
266,1951,6,1951-07-29,nurburgring,fangio,1911-06-24,Argentine,alfa,3,12213800.0,Finished,7,2
267,1951,6,1951-07-29,nurburgring,gonzalez,1922-10-05,Argentine,ferrari,2,12462300.0,Finished,4,3
268,1951,6,1951-07-29,nurburgring,villoresi,1909-05-16,Italian,ferrari,5,12533500.0,Finished,3,4
269,1951,6,1951-07-29,nurburgring,taruffi,1906-10-12,Italian,ferrari,6,12652400.0,Finished,2,5
270,1951,6,1951-07-29,nurburgring,fischer,1912-04-19,Swiss,ferrari,8,,+1 Lap,0,6
271,1951,6,1951-07-29,nurburgring,manzon,1917-04-12,French,simca,9,,+1 Lap,0,7
272,1951,6,1951-07-29,nurburgring,rosier,1905-11-05,French,lago,15,,+1 Lap,0,8
273,1951,6,1951-07-29,nurburgring,levegh,1905-12-22,French,lago,19,,+2 Laps,0,9
