,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
12,13,"INSTITUTUL ONCOLOGIC ""PROF. DR. I. CHIRICUTA",A013,Cluj,I M,specialitate,public,institut,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",office@iocn.ro,www.iocn.ro,Ministerul Sanatatii,Acreditat,Categoria III Acreditat cu rezerve,,,
13,14,SPITAL PSIHIATRIE NUCET,A014,Bihor,V,specialitate,public,fara invatamant,"str. Parcul Traian, nr. 5, Oradea, Bihor",spnucet@yahoo.com,www.spnucet.ro,Consiliul Judetean Bihor,Acreditat,Categoria II Acreditat cu recomandari,,,
14,15,SPITALUL DE PEDIATRIE PITESTI,A015,Arges,IV,general,public,fara invatamant,"Pitesti, Piata Vasile Milea Nr. 1, Jud. Arges",spital.pediatrie@adslexpress.ro,http://www.pediatriepitesti.ro/,Consiliul Judetean Arges,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
15,16,SPITALUL SF SAVA S.R.L.,A016,Buzau,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"BUZAU, STR. CRIZANTEMELOR, NR.5, JUD.BUZAU",sfantulsava.buzau@gmail.com,http//www.spitalulsfsava.ro,SPITALUL SF.SAVA,Acreditat,Unitate aflata in proces de acreditare,,,
16,17,SPITALUL CLINIC DE PSIHIATRIE �PROF. DR. ALEXANDRU OBREGIA�,A017,Bucuresti,I M,specialitate,public,clinic cu sectii universitare,"Str. Sf. Ecaterina, Nr. 3, Sect. 4, Bucure?ti",secretariat@spital-obregia.ro,spital-obregia.ro,AdministraTia Spitalelor ?i Serviciilor Medicale Bucure?ti,Acreditat,Unitate aflata in proces de acreditare,,,
17,18,SPITALUL DE PSIHIATRIE TULGHES,A018,Harghita,V,specialitate,public,fara invatamant,M-Ciuc,spitalultulghes@yahoo.com,www.psihiatrietulghes.ro,Consiliul Judetean Harghita,Acreditat,Categoria VI Neacreditat,,,
18,19,S.C. CENTRUL MEDICAL UNIREA SRL,A019,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"str. Guillaume Kroll nr. 5, L-1882 Luxembourg, Marele Ducat al Luxembourg",office@reginamaria.ro,https://www.reginamaria.ro/spitale/spitalul-baneasa,"Royal Capital Investments S.a.r.l., a o societate inregistrata conform legilor din Luxembourg",Acreditat,Categoria II Acreditat cu recomandari,,,
19,20,SANATORIUL BALNEAR ?I DE RECUPERARE TECHIRGHIOL,A020,Constanta,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",sbtghiol@sbtghiol.ro,http://www.sbtghiol.ro/,MINISTERUL SaNaTatII,Acreditat,Categoria II Acreditat cu recomandari,,,
20,21,SPITALUL DR. CAIUS TIBERIU SPARCHEZ,A021,Brasov,IV,general,public,fara invatamant,"str. MITROPILIT IOAN METIANU, nr. 1",secretariat@spitalzarnesti.ro,www.spitalcts.ro,PRIMaRIA ORA? ZaRNE?TI,Acreditat,Unitate aflata in proces de acreditare,,,
21,22,"SPITALUL DE BOLI CRONICE ""SF.LUCA",A022,Bucuresti,II M,pentru bolnavi cu afectiuni cronice,public,clinic cu sectii universitare,"STR. SF ECATERINA , NR 3 , SECT 4 , BUCURESTI",spitalul.sf.luca@gmail.com,http://website.spitalulsfluca.ro,ASSMB,Acreditat,Unitate aflata in proces de acreditare,,,
22,23,CENTRUL DE EVALUARE ?I TRATAMENT A TOXICODEPENDENTELOR PENTRU TINERI SF. STELIAN,A023,Bucuresti,V,specialitate,public,fara invatamant,"STRADA SFANTA ECATERINA NR.3, SECTOR 4",cettt_sf.stelian@yahoo.com,www.cetttsfantulstelian.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Categoria II Acreditat cu recomandari,,,
23,24,SPITAL MUNICIPAL BLAJ,A024,Alba,IV,general,public,fara invatamant,"Blaj, P-ta 1848, nr. 1, 515400, jud. Alba",secretariat@spitalblaj.ro,www.spitalblaj.ro,UAT Municipiul Blaj,Acreditat,Unitate aflata in proces de acreditare,,,
24,25,SPITALUL SOVATA-NIRAJ,A025,Mures,V,specialitate,public,fara invatamant,SOVATA STR. PRINCIPALA NR 153,csssovata@yahoo.com,www.spitalsovata.ro,CONSILIUL LOCAL SOVATA,Acreditat,Unitate aflata in proces de acreditare,,,
25,26,SPITALUL JUDETEAN DE URGENTA DR.FOGOLY�N KRIST�F,A027,Covasna,III,urgenta,public,fara invatamant,Str.Piata Libertatii Nr.4,secretariat@administrativ.spitfog.ro,www.spitfog.ro,Consiliul Judetean Covasna,Acreditat,Unitate aflata in proces de acreditare,,,
26,27,SPITALUL DE BOLI PSIHICE CRONICE BORSA,A029,Cluj,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"CALEA DOROBANTILOR,NR.106,CLUJ NAPOCA,CLUJ",office@spitalpsihiatrieborsa.ro,www.spitalpsihiatrieborsa.ro,CONSILIUL JUDETEAN CLUJ,Acreditat,Categoria II Acreditat cu recomandari,,,
27,28,SPITAL MUNICIPAL GHEORGHENI,A030,Harghita,IV,general,public,fara invatamant,"PiaTa LibertaTii nr. 27. Jud. Harghita, Romania",secretariat@spitalgh.ro,http://www.spitalgh.ro,MUNICIPIUL GHEORGHENI,Acreditat,Unitate aflata in proces de acreditare,,,
28,29,SPITALUL DE URGENTA AL MAI �PROF.DR.D.GEROTA�,A031,Bucuresti,II,urgenta,public,fara invatamant,"Str. Mihai Voda nr. 17, sector 5",spital.gerota@mai.gov.ro,http://www.spitalgerota.mai.gov.ro,Directia Medicala a Ministerului Afacerilor Interne,Acreditat,Unitate aflata in proces de acreditare,,,
29,30,SPITALUL MUNICIPAL DE URGENTA PASCANI,A032,Iasi,IV,urgenta,public,fara invatamant,"Str. Stefan cel Mare , nr.16 , Municipiul Pascani",spitalulmunicipalpascani@yahoo.com,www.spitalulmunicipalpascani.ro,Unitatea Administrativ Teritoriala Pascani,Acreditat,Unitate aflata in proces de acreditare,,,
30,31,SPITALUL DE PSIHIATRIE VOILA,A034,Prahova,V,specialitate,public,fara invatamant,"Bulevardul Culturii, nr. 18 Campina, Prahova",spitalpsihiatrie@gmail.com,www.spitalulvoila.ro,CONSILIUL LOCAL AL MUNICIPIULUI CaMPINA,Acreditat,Unitate aflata in proces de acreditare,,,
31,32,SPITALUL MUNICIPAL DR. AUREL TULBURE FAGARAS,A035,Brasov,IV,general,public,fara invatamant,"LOC. FAGARAS,STR.Republicii nr 3, JUD.BRASOV",secretariat@spitalulfagaras.ro,www.spitalulfagaras.ro,PRIMARIA MUNICIPIULUI FAGARAS,Acreditat,Categoria VI Neacreditat,,,
32,33,SPITALUL MUNICIPAL GHERLA,A037,Cluj,IV,general,public,fara invatamant,"GHERLA, STR.BOBALNA NR.2",secretariat@spitalgherla.ro,www.spitalgherla.ro,PRIMARIA MUNICIPIULUI GHERLA,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
33,34,"SPITALUL ,,PROF.DR.EDUARD APETREI'' BUHUSI",A038,Bacau,IV,general,public,fara invatamant,"Str. Republicii, Nr.5 Buhu?i 605100 Bacau",spitalbuhusi@gmail.com,www.spitalbuhusi.ro,Consiliul Local Buhusi,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
34,35,SPITALUL DE ORTOPEDIESI TRAUMATOLOGIE AZUGA,A039,Prahova,V,specialitate,public,fara invatamant,"AZUGA, STR. INDEPENDENTEI, NR. 10A",spitalazuga@yahoo.com,www.ortopedieazuga.ro,CONSILIUL LOCAL AZUGA,Acreditat,Unitate aflata in proces de acreditare,,,
35,36,SPITALUL DE PSIHIATRIE ?I PENTRU MASURI DE SIGURANTA SAPOCA,A040,Buzau,III,specialitate,public,fara invatamant,"Str. Intr. Cristian Popisteanu, Nr 1-3",secretariat@hsapoca.ro,www.hsapoca.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
36,37,CARDIO MED S.R.L. TARGU MURES,A041,Mures,V,specialitate,privat,fara invatamant,"MUN. TIRGU MURES, STR. 22 DECEMBRIE 1989, NR. 76-78, JUD, MURES",contact@cardiomedtgm.ro,https://www.cardiomedtgm.ro/,AGA,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
37,38,SPITAL - CENTRUL MEDICAL TOPMED,A042,Mures,IV,specialitate,privat,fara invatamant,"STR. DOROBANTILOR, NR. 1, TG.MURES",office@topmed.ro,www.topmed.ro,SC CENTRUL MEDICAL TOPMED SRL,Acreditat,Unitate aflata in proces de acreditare,,,
38,39,SPITALUL DE PNEUMOFTIZIOLOGIE SATU MARE,A043,Satu Mare,V,specialitate,public,fara invatamant,"SATU MARE,PIATA 25 OCTOMBRIE NR 1,COD POSTAL 440026",tbc_sm@yahoo.com,www.spitalpnfsm.ro,CONSILIUL JUDETEAN SATU MARE,Acreditat,Unitate aflata in proces de acreditare,,,
39,40,SOCIETATEA MANITOU MED SRL CLINICA GYNOPRAX,A044,Satu Mare,V,specialitate,privat,fara invatamant,I.C.BRATIANU nr. 2/6 SATU MARE,gynoprax.adm@gmail.com,www.gynoprax.ro,privat,Acreditat,Unitate aflata in proces de acreditare,,,
40,41,S.C. ECOMED S.R.L. VINTILA-VODA,A045,Buzau,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"COMUNA VINTILA-VODA , STR. PRINCIPALA , NR.1 , JUDET BUZAU",ecomedbz@yahoo.com,www.ecomedbz.ro,S.C. ECOMED S.R.L. VINTILA-VODA,Acreditat,Categoria II Acreditat cu recomandari,,,
41,42,"SPITALUL DE PSIHIATRIE "" ELISABETA DOAMNA"" GALATI",A047,Galati,V,specialitate,public,clinic cu sectii universitare,"STRADA TRAIAN NR. 97, BL.. A4, PARTER",secretariat@spitalpsihiatrie-galati.ro,www.spitalpsihiatrie-galati.ro,CONSILIUL LOCAL GALATI - PRIMARIA GALATI - SERVICIUL DE ASISTENTA MEDICALA AL MUNICIPIULUI GALATI,Acreditat,Categoria II Acreditat cu recomandari,,,
42,43,SPITALUL DE PSIHIATRIE,A048,Suceava,V,specialitate,public,fara invatamant,"STR. 22 DECEMBRIE, NR. 2, CAMPULUNG MOLDOVENESC",office@spcm.ro,www.spcm.ro,CONSILIUL LOCAL CAMPULUNG MOLDOVENESC,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
43,44,SPITALUL ORA?ENESC ZIMNICEA,A049,Teleorman,IV,general,public,fara invatamant,"str Giurgiu, nr. 1 ,Zimnicea",spitalzimnicea@yahoo.com,www.spital-zimnicea.ro,UAT ZIMNICEA,Acreditat,Categoria III Acreditat cu rezerve,,,
44,45,PENITENCIARUL SPITAL DEJ,A050,Cluj,III,general,public,fara invatamant,STR. MARIA GHICULEASA NR.47,psdej@anp.gov.ro,http://anp.gov.ro/penitenciarul-spital-dej/,ANP,Acreditat,Categoria II Acreditat cu recomandari,,,
45,46,"SPITALUL MILITAR DE URGENTA ""DR. ARISTIDE SERFIOTI"" GALATI",A051,Galati,III,urgenta,public,fara invatamant,"Bucuresti , str.Institutului Medico-Militar , nr.3-5, Sector 1",secretariat@smugalati.ro,www.smugalati.ro,Directia Medicala a MINISTERULUI APARARII NATIONALE,Acreditat,Categoria II Acreditat cu recomandari,,,
46,47,SPITALUL CLINIC DE RECUPERARE IASI,A052,Iasi,I M,pentru bolnavi cu afectiuni cronice,public,clinic cu sectii universitare,stefan cel mare 11,secretariat@scr.ro,www.scr.ro,Consiliul Local al Municipiului Iasi,Acreditat,Categoria II Acreditat cu recomandari,,,
47,48,SC CMC PRAXIS SRL,A054,Alba,V,general,privat,fara invatamant,"STR. TULNICULUI, NR. 24, LOC. ALBA IULIA, JUD. ALBA",cmcpraxis@gmail.com,www.doctorcibu.ro,CMC PRAXIS SRL,Acreditat,Categoria II Acreditat cu recomandari,,,
48,49,SPITALUL CLINIC DE PSIHIATRIE SI NEUROLOGIE BRASOV,A055,Brasov,II M,specialitate,public,clinic cu sectii universitare,B-dul Eroilor nr. 5,relatiicupublicul@spnbrasov.ro,www.spnbrasov.ro,Consiliul Judetean Brasov,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
49,50,SANATORIUL BALNEAR ?I DE RECUPERARE MANGALIA,A056,Constanta,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",office@balnear.net,www.balnear.net,Ministerul Sanatatii,Acreditat,Categoria III Acreditat cu rezerve,,,
50,51,SPITALUL CLINIC DE NEUROPSIHIATRIE CRAIOVA,A057,Dolj,II M,specialitate,public,clinic cu sectii universitare,"STR. A. I CUZA, NR.7",contact@scnpc.ro,www.scnpc.ro,PRIMARIA MUNICIPIULUI CRAIOVA - CONSILIUL LOCAL AL MUNICIPIULUI CRAIOVA,Acreditat,Categoria II Acreditat cu recomandari,,,
51,52,SPITALUL PRIVAT S.C. BETHESDA S.R.L.,A058,Suceava,V,specialitate,privat,fara invatamant,"STR. TRAIAN,NR. 5, Calafat, cod 205200, Dolj",cosmin@bethesda.ro,www.bethesda.ro,privat,Acreditat,Categoria II Acreditat cu recomandari,,,
52,53,SPITALUL CLINIC DE URGENTA �PROF.DR. AGRIPPA IONESCU�,A059,Bucuresti,II,urgenta,public,clinic cu sectii universitare,B-dul Libertatii nr. 14,agrippa@dcti.ro,www.spitalulagrippaionescu.ro,Serviciul Roman de Informatii,Acreditat,Unitate aflata in proces de acreditare,,,
53,54,"SPITAL MUNICIPAL DE URGENTA ""ELENA BELDIMAN"" BARLAD",A060,Vaslui,III,urgenta,public,fara invatamant,"str. 1 Decembrie 1918 nr.21, Barlad",spitalul.municipal.barlad@gmail.com,www.spital-barlad.ro,CONSILIUL LOCAL MUNICIPAL BARLAD,Acreditat,Unitate aflata in proces de acreditare,,,
54,55,SPITALUL DE PSIHIATRIE SI PENTRU MASURI DE SIGURANTA JEBEL,A061,Timis,III,specialitate,public,fara invatamant,"STR. CRISTIAN POPISTEANU, NR.1-3, SECTOR 1, BUCURESTI",secretariat@spitaljebel.ro,www.spitaljebel.ro,MINISTERUL SANATATII,Acreditat,Categoria II Acreditat cu recomandari,,,
55,56,SOCIETATEA MEDISPROF SRL,A062,Cluj,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"PIATA 1 MAI NR. 3, CLUJ-NAPOCA, JUD. CLUJ",office@medisprof.ro,www.medisprof.ro,MEDISPROF SRL,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
56,57,SPITALUL ORASENESC NOVACI,A063,Gorj,IV,general,public,fara invatamant,PARANGULUI NR.79 JUDETUL GORJ,SPITALULNOVACI@YAHOO.COM,WWW.SPITALULNOVACI.RO,CONSILILUL LOCAL NOVACI,Acreditat,Categoria III Acreditat cu rezerve,,,
57,58,SPITALUL ORA?ENESC HUEDIN,A064,Cluj,IV,general,public,fara invatamant,"Localitatea Huedin, strada Horea nr1",secretariat@spitalulhuedin.ro,SPITALUL ORASENESC HUEDIN,Primaria Orasului Huedin,Acreditat,Categoria III Acreditat cu rezerve,,,
58,59,SPITALUL CLINIC DE RECUPERARE CLUJ-NAPOCA,A065,Cluj,II M,pentru bolnavi cu afectiuni cronice,public,clinic cu sectii universitare,"Calea DorobanTilor, nr. 106, CP. 400609, Cluj-Napoca",spitalulclinicrecuperare@gmail.com,https://recuperarecluj.ro/,Consiliul Judetean Cluj,Acreditat,Unitate aflata in proces de acreditare,,,
59,60,SPITALUL MUNICIPAL SIGHI?OARA,A066,Mures,IV,general,public,fara invatamant,P-TA MUZEULUI NR.7,secretariat@spitalsighisoara.ro,www.spitalsighisoara.ro,U.A.T. SIGHISOARA,Acreditat,Unitate aflata in proces de acreditare,,,
60,61,S.C. COSAMEXT S.R.L.-CENTRUL MEDICAL PULS-SPITAL PRIVAT,A067,Mures,V,specialitate,privat,fara invatamant,"Tirgu Mures, str. Prof. Dr. Gheorghe Marinescu nr.4",calitate.puls@reginamaria.ro,https://www.reginamaria.ro/spitale/spital-puls,SC COSAMEXT SRL,Acreditat,Categoria II Acreditat cu recomandari,,,
61,62,S.C. MEDSTAR 2000 S.R.L,A068,Constanta,V,general,privat,fara invatamant,"Str Decebal, nr 54, Constanta, jud Constanta",medstar2000@tnet.ro,www.medstar2000.ro,SC MEDSTAR 2000 SRL,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
62,63,SPITALUL DE PSIHIATRIE SF. NICOLAE ROMAN,A069,Neamt,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Str. Alexandru cel Bun nr. 27, Piatra Neamt, jud. Neamt",spital@spsnroman.ro,www.spsnroman.ro,Consiliul Judetean Neamt,Acreditat,Unitate aflata in proces de acreditare,,,
63,64,"CENTRUL NATIONAL CLINIC DE RECUPERARE NEUROPSIHOMOTORIE COPII ""DR. NICOLAE ROBANESCU",A070,Bucuresti,II M,pentru bolnavi cu afectiuni cronice,public,clinic cu sectii universitare,"Str. Cristian Popisteanu, Nr. 1-3, Sect. 3, Bucuresti",cnmrnc@yahoo.com,www.recuperarecopii.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
64,65,SPITALUL CLINIC MUNICIPAL DE URGENTA TIMISOARA,A071,Timis,II,urgenta,public,clinic cu sectii universitare,"Bd. C.D. Loga, nr. 1, cod postal 300030",secretariat@smtm.ro,http://www.spitalul-municipal-timisoara.ro,Primaria Municipiului Timisoara,Acreditat,Unitate aflata in proces de acreditare,,,
65,66,ASOCIATIA ONCOHELP- CENTRUL DE ONCOLOGIE ONCOHELP,A072,Timis,II M,specialitate,privat,clinic cu sectii universitare,CIPRIAN PORUMBESCU NR.59 TIMISOARA,office@oncohelp.ro,www.oncohelp.ro,ASOCIATIA ONCOHELP,Acreditat,Unitate aflata in proces de acreditare,,,
66,67,SPITALUL MUNICIPAL CARITAS ROSIORI DE VEDE,A074,Teleorman,IV,general,public,fara invatamant,CALEA DUNARII 58,caritasrosiori@gmail.com,www.spitalulcaritasrosiori.ro,PRIMARIA ROSIORII DE VEDE,Acreditat,Unitate aflata in proces de acreditare,,,
67,68,SPITALUL ORA?ENESC MIOVENI,A075,Arges,IV,general,public,fara invatamant,"B-dul Dacia, Nr. 1, Mioveni, Jud. Arges",spitalmioveni@artelecom.net,www.spitalmioveni.ro,Consiliul Local Mioveni,Acreditat,Unitate aflata in proces de acreditare,,,
68,69,"SPITALUL CLINIC DE URGENTA PENTRU COPII ""SF. IOAN"" GALATI",A076,Galati,II M,urgenta,public,clinic cu sectii universitare,Strada Domneasca nr.54,spurgcopgl@mail.com,www.spcopgalati.ro,Primaria Municipiului Galati,Acreditat,Unitate aflata in proces de acreditare,,,
69,70,"SPITALUL CLINIC DE URGENTA MILITAR ""DR. ?TEFAN ODOBLEJA"" CRAIOVA",A078,Dolj,III,urgenta,public,clinic cu sectii universitare,"STRADA INSTITULUL MEDICO MILITAR NR.3-5 ,SECT 1,BUCURE?TI",smu_craiova@yahoo.com,www.smucraiova.ro,DIRECTIA MEDICALa A M.Ap.N,Acreditat,Categoria II Acreditat cu recomandari,,,
70,71,"INSTITUTUL NATIONAL DE ENDOCRINOLOGIE C.I. PARHON, BUCURESTI",A079,Bucuresti,I M,specialitate,public,institut,"Str. Cristian Popisteanu nr.1-3, sect. 1, cod postal 010024",contact@parhon.ro,www.parhon.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
71,72,ARCADIA HOSPITAL SRL,A080,Iasi,IV,general,privat,fara invatamant,Str. Sarariei nr. 38 punct de lucru Str. Cicoarei nr. 2,secretariat@arcadiamedical.ro,www.arcadiamedical.ro,Proprietate privata,Acreditat,Categoria II Acreditat cu recomandari,,,
72,73,ARCADIA CARDIO,A081,Iasi,V,specialitate,privat,fara invatamant,nu se aplica,office@arcadiamedical.ro,www.arcadiamedical.ro,privat,Acreditat,Unitate aflata in proces de acreditare,,,
73,74,SPITALUL ORASENESC PUCIOASA,A082,Dambovita,IV,general,public,fara invatamant,"STR.FANTANELOR,NR.7,ORASUL PUCIOASA,JUD.DAMBOVITA",spitalpucioasa@yahoo.com,spitalpucioasa.ro,UNITATEA ADMINISTRATIV TERITORIALA PUCIOASA,Acreditat,Unitate aflata in proces de acreditare,,,
74,75,ISIS MEDICAL CENTER S.R.L.,A083,Constanta,V,specialitate,privat,fara invatamant,"STR. MIRCEA CEL BATRAN, NR. 102, CONSTANTA",office@isis-med.ro,www.isis-med.ro,ISIS MEDICAL CENTER S.R.L,Acreditat,Categoria II Acreditat cu recomandari,,,
75,76,"SPITALUL DE PNEUMOFTIZIOLOGIE ""SF.ANDREI",A084,Arges,V,specialitate,public,fara invatamant,"PIATA VASILE MILEA NR.1, 110053 - PITESTI, JUD.ARGES",postmaster@spviasului.ro,www.spviasului.ro,CONSILIUL JUDETEAN ARGES,Acreditat,Unitate aflata in proces de acreditare,,,
76,77,SPITALUL MUNICIPAL RAMNICU SARAT,A085,Buzau,IV,general,public,fara invatamant,"Str. Nicolae Balcescu, nr.2",spitalrms@gmail.com,http://www.spitalrms.ro/,Spitalul Municipal Rm. Sarat,Acreditat,Unitate aflata in proces de acreditare,,,
77,78,SPITALUL DE PSIHIATRIE MOCREA,A086,Arad,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,Strada Corneliu Coposu 22,psihiatrie@spitalmocrea.ro,www.spitalmocrea.ro,CONSILIUL JUDETEAN ARAD,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
78,79,SOCIETATEA EUROCLINIC HOSPITAL SA,A087,Bucuresti,IV,general,privat,fara invatamant,"str. Guillaume Kroll nr. 5, L-1882 Luxembourg, Marele Ducat al Luxembourg",birouinternari@reginamaria.ro,https://www.reginamaria.ro/spitale/spitalul-euroclinic,"Royal Capital Investments S.a.r.l., societate inregistrata conform legilor din Luxembourg",Acreditat,Categoria II Acreditat cu recomandari,,,
79,80,SPITALUL CLINIC DE BOLI INFECTIOASE BRASOV,A088,Brasov,II M,specialitate,public,clinic cu sectii universitare,Bd. Eroilor nr 5,secretariat@sbibv.ro,www.sbibrasov.ro,Consiliul Judetean Brasov,Acreditat,Unitate aflata in proces de acreditare,,,
80,81,SPITAL CLINIC PNEUMOFTIZIOLOGIE BRASOV,A089,Brasov,II M,specialitate,public,clinic cu sectii universitare,B-dul Eroilor nr. 5,manager@pneumologie.ro,pneumologie.ro,Consiliul Judetean Brasov,Acreditat,Unitate aflata in proces de acreditare,,,
81,82,SPITALUL CLINIC C.F. IASI,A090,Iasi,IV,general,public,clinic cu sectii universitare,"BULEVARDUL DINICU GOLESCU NR. 38, SECTOR 1, BUCURESTI, COD POSTAL 010873",spitalcfiasi@yahoo.com,www.spitaluniveristarcfiasi.ro,"MINISTERUL TRANSPORTURILOR sI INFRASTRUCTURII, DIRECtIA MEDICALa",Acreditat,Unitate aflata in proces de acreditare,,,
